127.0.0.1 - - [15/Jul/2016:09:43:22 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:43:22 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:43:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:43:39 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:44:54 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:46:23 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:46:51 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:47:36 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:48:30 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:52:39 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:54:08 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:55:31 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [15/Jul/2016:09:57:28 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:02:41 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:02:53 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1560
